"tick","Imitating","Inquiring","Optimising","Repeating"
1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0
26.0,6.0,4.0,170.0,340.0
27.0,4.0,4.0,194.0,318.0
28.0,6.0,0.0,176.0,338.0
29.0,6.0,4.0,193.0,317.0
30.0,7.0,2.0,173.0,338.0
31.0,3.0,6.0,170.0,341.0
32.0,9.0,3.0,188.0,320.0
33.0,3.0,3.0,200.0,314.0
34.0,9.0,1.0,199.0,311.0
35.0,6.0,4.0,192.0,318.0
36.0,1.0,5.0,197.0,317.0
37.0,8.0,4.0,185.0,323.0
38.0,7.0,6.0,168.0,339.0
39.0,3.0,3.0,194.0,320.0
40.0,4.0,3.0,181.0,332.0
41.0,10.0,6.0,184.0,320.0
42.0,6.0,4.0,190.0,320.0
43.0,5.0,3.0,180.0,332.0
44.0,11.0,2.0,181.0,326.0
45.0,7.0,3.0,171.0,339.0
46.0,8.0,7.0,179.0,326.0
47.0,8.0,3.0,192.0,317.0
48.0,8.0,2.0,195.0,315.0
49.0,11.0,0.0,176.0,333.0
50.0,10.0,1.0,168.0,341.0
51.0,12.0,1.0,180.0,327.0
52.0,7.0,4.0,171.0,338.0
53.0,8.0,0.0,199.0,313.0
54.0,11.0,4.0,196.0,309.0
55.0,4.0,3.0,183.0,330.0
56.0,8.0,5.0,177.0,330.0
57.0,7.0,3.0,192.0,318.0
58.0,10.0,4.0,181.0,325.0
